cycle_id,start_trough_date,start_trough_price,peak_date,peak_price,end_trough_date,end_trough_price,total_duration_days,rise_duration_days,decline_duration_days,rise_amplitude_cpl,decline_amplitude_cpl,rise_or_recovery_speed_cpl_per_day,decline_speed_cpl_per_day,method,parameter_set,completeness_flag
station_day_last_mean_02,2025-05-21,157.67142857142858,2025-06-10,195.49081967213115,2025-06-29,166.66585365853658,39,20,19,37.819391100702575,28.824966013594576,1.8909695550351286,1.5171034743997145,station_day_last_mean,default_v1,complete
station_day_last_mean_03,2025-06-29,166.66585365853658,2025-07-09,197.69710144927538,2025-07-27,158.5159420289855,28,10,18,31.031247790738803,39.18115942028987,3.1031247790738803,2.176731078904993,station_day_last_mean,default_v1,complete
station_day_last_mean_04,2025-07-27,158.5159420289855,2025-08-07,189.81704545454548,2025-08-28,165.34619883040935,32,11,21,31.301103425559972,24.47084662413613,2.8455548568690885,1.165278410673149,station_day_last_mean,default_v1,complete
station_day_last_mean_05,2025-08-28,165.34619883040935,2025-09-16,195.59787985865725,2025-10-01,166.19778597785978,34,19,15,30.2516810282479,29.40009388079747,1.592193738328837,1.9600062587198315,station_day_last_mean,default_v1,complete
station_day_last_mean_06,2025-10-01,166.19778597785978,2025-10-17,196.30912280701753,2025-11-06,170.93012820512823,36,16,20,30.11133682915775,25.378994601889303,1.8819585518223594,1.2689497300944652,station_day_last_mean,default_v1,complete
station_day_last_mean_07,2025-11-06,170.93012820512823,2025-11-20,200.70600000000002,2025-12-02,169.41084337349398,26,14,12,29.77587179487179,31.295156626506042,2.126847985347985,2.6079297188755035,station_day_last_mean,default_v1,complete
station_day_last_mean_08,2025-12-02,169.41084337349398,2025-12-18,202.95876623376626,2026-01-10,158.7414201183432,39,16,23,33.54792286027228,44.217346115423055,2.0967451787670175,1.9224933093662198,station_day_last_mean,default_v1,complete
station_day_last_mean_09,2026-01-10,158.7414201183432,2026-01-27,187.30880281690142,2026-02-17,155.72885375494073,38,17,21,28.56738269855822,31.57994906196069,1.6804342763857776,1.5038070981886043,station_day_last_mean,default_v1,complete
station_day_mean_equal_weight_01,2025-04-16,163.80351307189542,2025-05-02,195.44182183908046,2025-05-21,158.0551917989418,35,16,19,31.638308767185038,37.38663004013867,1.9773942979490648,1.9677173705336142,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_02,2025-05-21,158.0551917989418,2025-06-10,195.69120218579235,2025-06-29,167.05264227642277,39,20,19,37.63601038685056,28.638559909369576,1.8818005193425278,1.507292626808925,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_03,2025-06-29,167.05264227642277,2025-07-09,198.16340579710143,2025-07-27,159.03574879227054,28,10,18,31.11076352067866,39.127657004830894,3.111076352067866,2.1737587224906054,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_04,2025-07-27,159.03574879227054,2025-08-07,190.2348484848485,2025-08-28,165.56910331384015,32,11,21,31.19909969257796,24.665745171008354,2.83628179023436,1.1745592938575407,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_05,2025-08-28,165.56910331384015,2025-09-16,196.02122328790173,2025-10-01,166.04218942189422,34,19,15,30.45211997406159,29.979033866007512,1.6027431565295573,1.998602257733834,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_06,2025-10-01,166.04218942189422,2025-10-17,196.62914619883043,2025-11-06,170.97232905982906,36,16,20,30.586956776936205,25.65681713900136,1.9116847985585128,1.282840856950068,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_07,2025-11-06,170.97232905982906,2025-11-20,201.55356122448978,2025-12-03,169.15777594274704,27,14,13,30.58123216466072,32.39578528174275,2.1843737260471943,2.4919834832109804,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_08,2025-12-03,169.15777594274704,2025-12-18,203.63502164502165,2026-01-10,158.9319526627219,38,15,23,34.477245702274615,44.703068982299754,2.2984830468183075,1.943611694882598,station_day_mean_equal_weight,default_v1,complete
station_day_mean_equal_weight_09,2026-01-10,158.9319526627219,2026-01-28,187.88192056905748,2026-02-17,155.45125164690384,38,18,20,28.949967906335587,32.43066892215364,1.608331550351977,1.6215334461076822,station_day_mean_equal_weight,default_v1,complete
station_day_median_01,2025-04-19,158.2,2025-05-01,199.9,2025-05-31,153.45,42,12,30,41.70000000000002,46.45000000000002,3.4750000000000014,1.548333333333334,station_day_median,default_v1,complete
station_day_median_02,2025-05-31,153.45,2025-06-10,199.9,2025-06-30,163.9,30,10,20,46.45000000000002,36.0,4.645000000000001,1.8,station_day_median,default_v1,complete
station_day_median_03,2025-06-30,163.9,2025-07-08,202.9,2025-07-30,155.9,30,8,22,39.0,47.0,4.875,2.1363636363636362,station_day_median,default_v1,complete
station_day_median_04,2025-07-30,155.9,2025-08-09,191.9,2025-08-28,163.9,29,10,19,36.0,28.0,3.6,1.4736842105263157,station_day_median,default_v1,complete
station_day_median_05,2025-08-28,163.9,2025-09-16,196.9,2025-10-11,158.9,44,19,25,33.0,38.0,1.736842105263158,1.52,station_day_median,default_v1,complete
station_day_median_06,2025-10-11,158.9,2025-10-13,202.3,2025-11-11,165.9,31,2,29,43.400000000000006,36.400000000000006,21.700000000000003,1.2551724137931037,station_day_median,default_v1,complete
station_day_median_07,2025-11-11,165.9,2025-11-20,204.9,2025-12-06,165.9,25,9,16,39.0,39.0,4.333333333333333,2.4375,station_day_median,default_v1,complete
station_day_median_08,2025-12-06,165.9,2025-12-18,207.9,2026-01-13,157.9,38,12,26,42.0,50.0,3.5,1.9230769230769231,station_day_median,default_v1,complete
station_day_median_09,2026-01-13,157.9,2026-01-22,189.9,2026-02-17,153.9,35,9,26,32.0,36.0,3.5555555555555554,1.3846153846153846,station_day_median,default_v1,complete
update_event_mean_01,2025-04-16,163.7767175572519,2025-05-02,194.6845953002611,2025-05-21,158.2659375,35,16,19,30.90787774300918,36.41865780026109,1.9317423589380738,1.9167714631716362,update_event_mean,default_v1,complete
update_event_mean_02,2025-05-21,158.2659375,2025-06-10,195.09715762273905,2025-06-29,166.5,39,20,19,36.83122012273904,28.597157622739047,1.841561006136952,1.5051135590915288,update_event_mean,default_v1,complete
update_event_mean_03,2025-06-29,166.5,2025-07-09,198.90671641791045,2025-07-27,158.68522727272727,28,10,18,32.406716417910445,40.22148914518317,3.2406716417910446,2.2345271747323983,update_event_mean,default_v1,complete
update_event_mean_04,2025-07-27,158.68522727272727,2025-08-07,189.79058823529414,2025-08-28,165.9061224489796,32,11,21,31.105360962566863,23.884465786314536,2.8277600875060784,1.1373555136340254,update_event_mean,default_v1,complete
update_event_mean_05,2025-08-28,165.9061224489796,2025-09-16,195.02193211488253,2025-10-01,166.48716577540108,34,19,15,29.11580966590293,28.53476633948145,1.5324110350475226,1.90231775596543,update_event_mean,default_v1,complete
update_event_mean_06,2025-10-01,166.48716577540108,2025-10-18,196.35676328502416,2025-11-06,170.72468085106385,36,17,19,29.869597509623077,25.632082433960306,1.7570351476248869,1.3490569702084372,update_event_mean,default_v1,complete
update_event_mean_07,2025-11-06,170.72468085106385,2025-11-20,201.25132743362832,2025-12-03,169.43059701492538,27,14,13,30.526646582564467,31.820730418702937,2.1804747558974618,2.4477484937463796,update_event_mean,default_v1,complete
update_event_mean_08,2025-12-03,169.43059701492538,2025-12-18,202.37649484536084,2026-01-10,159.45353535353536,38,15,23,32.945897830435456,42.92295949182548,2.196393188695697,1.8662156300793686,update_event_mean,default_v1,complete
update_event_mean_09,2026-01-10,159.45353535353536,2026-01-28,188.4230593607306,2026-02-17,155.9160237388724,38,18,20,28.969524007195247,32.50703562185819,1.609418000399736,1.6253517810929097,update_event_mean,default_v1,complete
